olympicsLabel,year,total,maleCount,femaleCount
1896 Summer Olympics,1896,125,125,0
1900 Summer Olympics,1900,806,792,14
1904 Summer Olympics,1904,476,475,1
1906 Intercalated Games,1906,261,253,8
1908 Summer Olympics,1908,1424,1393,31
1912 Summer Olympics,1912,1968,1935,33
1924 Summer Olympics,1924,2432,2325,107
1928 Summer Olympics,1928,2351,2094,257
1932 Summer Olympics,1932,1198,1067,130
1936 Summer Olympics,1936,3300,3009,289
1948 Summer Olympics,1948,3394,3024,370
1952 Summer Olympics,1952,3867,3404,463
1956 Summer Olympics,1956,2527,2197,330
1960 Summer Olympics,1960,3992,3462,530
1964 Summer Olympics,1964,3762,3196,565
1968 Summer Olympics,1968,4271,3586,685
1972 Summer Olympics,1972,4998,4196,802
1976 Summer Olympics,1976,3967,3144,823
1980 Summer Olympics,1980,3806,3040,766
1984 Summer Olympics,1984,5190,3990,1200
1988 Summer Olympics,1988,6467,4805,1662
1992 Summer Olympics,1992,6863,4908,1956
1996 Summer Olympics,1996,7277,4739,2537
2000 Summer Olympics,2000,8001,4923,3074
2004 Summer Olympics,2004,8435,5018,3415
2008 Summer Olympics,2008,8745,5062,3683
2012 Summer Olympics,2012,7851,4382,3467
2016 Summer Olympics,2016,1393,829,563
2020 Summer Olympics,2021,309,160,149
2024 Summer Olympics,2024,197,93,103
